platform,token,company,board_url,api_url,open_roles,count_basis,region
ashby,0g,0g,https://jobs.ashbyhq.com/0g,https://api.ashbyhq.com/posting-api/job-board/0g,7,observed,
ashby,10xteam,10xteam,https://jobs.ashbyhq.com/10xteam,https://api.ashbyhq.com/posting-api/job-board/10xteam,133,observed,
ashby,1bios,1bios,https://jobs.ashbyhq.com/1bios,https://api.ashbyhq.com/posting-api/job-board/1bios,1,observed,
ashby,1mind,1mind,https://jobs.ashbyhq.com/1mind,https://api.ashbyhq.com/posting-api/job-board/1mind,8,observed,
ashby,1password,1password,https://jobs.ashbyhq.com/1password,https://api.ashbyhq.com/posting-api/job-board/1password,63,observed,
ashby,1x,1x,https://jobs.ashbyhq.com/1x,https://api.ashbyhq.com/posting-api/job-board/1x,79,observed,
ashby,3imembers,3imembers,https://jobs.ashbyhq.com/3imembers,https://api.ashbyhq.com/posting-api/job-board/3imembers,9,observed,
ashby,42dot,42dot,https://jobs.ashbyhq.com/42dot,https://api.ashbyhq.com/posting-api/job-board/42dot,114,observed,
ashby,5bluesoftware,5bluesoftware,https://jobs.ashbyhq.com/5bluesoftware,https://api.ashbyhq.com/posting-api/job-board/5bluesoftware,6,observed,
ashby,805title,805title,https://jobs.ashbyhq.com/805title,https://api.ashbyhq.com/posting-api/job-board/805title,5,observed,
ashby,8fleet-inc,8fleet-inc,https://jobs.ashbyhq.com/8fleet-inc,https://api.ashbyhq.com/posting-api/job-board/8fleet-inc,11,observed,
ashby,8vc,8vc,https://jobs.ashbyhq.com/8vc,https://api.ashbyhq.com/posting-api/job-board/8vc,4,observed,
ashby,9-mothers,9-mothers,https://jobs.ashbyhq.com/9-mothers,https://api.ashbyhq.com/posting-api/job-board/9-mothers,11,observed,
ashby,9fin,9fin,https://jobs.ashbyhq.com/9fin,https://api.ashbyhq.com/posting-api/job-board/9fin,40,observed,
ashby,a-place-for-mom,a-place-for-mom,https://jobs.ashbyhq.com/a-place-for-mom,https://api.ashbyhq.com/posting-api/job-board/a-place-for-mom,61,observed,
ashby,a-team,a-team,https://jobs.ashbyhq.com/a-team,https://api.ashbyhq.com/posting-api/job-board/a-team,2,observed,
ashby,a16z-new-media,a16z-new-media,https://jobs.ashbyhq.com/a16z-new-media,https://api.ashbyhq.com/posting-api/job-board/a16z-new-media,27,observed,
ashby,Aaron-School,Aaron-School,https://jobs.ashbyhq.com/Aaron-School,https://api.ashbyhq.com/posting-api/job-board/Aaron-School,2,observed,
ashby,abacum,abacum,https://jobs.ashbyhq.com/abacum,https://api.ashbyhq.com/posting-api/job-board/abacum,17,observed,
