role_family,company,net_roles,opened,closed,events,window_start,window_end,basis
clinical,Cleveland Clinic,-160,51,211,262,2026-09-03,2026-09-08,all events except coverage rows
clinical,Intermountain Health,-50,33,83,116,2026-09-03,2026-09-08,all events except coverage rows
clinical,Trinity Health,-39,43,82,125,2026-09-03,2026-09-08,all events except coverage rows
clinical,Vanderbilt University Medical Center,25,36,11,47,2026-09-03,2026-09-08,all events except coverage rows
clinical,AdventHealth,22,152,130,282,2026-09-03,2026-09-08,all events except coverage rows
clinical,Avera Health,17,28,11,39,2026-09-03,2026-09-08,all events except coverage rows
clinical,Mercy (St. Louis),17,30,13,43,2026-09-03,2026-09-08,all events except coverage rows
clinical,Wellstar Health System,14,30,16,46,2026-09-03,2026-09-08,all events except coverage rows
clinical,University of Arkansas System,-11,2,13,15,2026-09-03,2026-09-08,all events except coverage rows
clinical,Banner Health,10,26,16,42,2026-09-03,2026-09-08,all events except coverage rows
clinical,Carilion Clinic,-10,9,19,28,2026-09-03,2026-09-08,all events except coverage rows
clinical,Beth Israel Lahey Health,8,31,23,54,2026-09-03,2026-09-08,all events except coverage rows
clinical,Bon Secours Mercy Health,-8,8,16,24,2026-09-03,2026-09-08,all events except coverage rows
clinical,Jefferson Health,8,14,6,20,2026-09-03,2026-09-08,all events except coverage rows
clinical,Rochester Regional Health,8,18,10,28,2026-09-03,2026-09-08,all events except coverage rows
clinical,Saint Francis Health System,8,10,2,12,2026-09-03,2026-09-08,all events except coverage rows
clinical,Brown University Health,7,7,0,7,2026-09-03,2026-09-08,all events except coverage rows
clinical,Baptist Health Jacksonville,-6,3,9,12,2026-09-03,2026-09-08,all events except coverage rows
clinical,Highmark Health,6,9,3,12,2026-09-03,2026-09-08,all events except coverage rows
clinical,ProMedica,-6,6,12,18,2026-09-03,2026-09-08,all events except coverage rows
clinical,Baystate Health,-4,1,5,6,2026-09-03,2026-09-08,all events except coverage rows
clinical,Children's National Hospital,-4,2,6,8,2026-09-03,2026-09-08,all events except coverage rows
clinical,Healogics,-4,2,6,8,2026-09-03,2026-09-08,all events except coverage rows
clinical,OhioHealth,-3,5,8,13,2026-09-03,2026-09-08,all events except coverage rows
clinical,WVU Medicine,-3,12,15,27,2026-09-03,2026-09-08,all events except coverage rows
clinical,Boston Medical Center,2,6,4,10,2026-09-03,2026-09-08,all events except coverage rows
clinical,Endeavor Health (NorthShore),-2,5,7,12,2026-09-03,2026-09-08,all events except coverage rows
clinical,HonorHealth,-2,5,7,12,2026-09-03,2026-09-08,all events except coverage rows
clinical,Keck Medicine of USC,-2,2,4,6,2026-09-03,2026-09-08,all events except coverage rows
clinical,Mass General Brigham,-2,16,18,34,2026-09-03,2026-09-08,all events except coverage rows
clinical,Nationwide Children's Hospital,-2,2,4,6,2026-09-03,2026-09-08,all events except coverage rows
clinical,Presbyterian Healthcare Services,2,4,2,6,2026-09-03,2026-09-08,all events except coverage rows
clinical,Sentara Health,2,17,15,32,2026-09-03,2026-09-08,all events except coverage rows
clinical,UMass Memorial Health,-2,7,9,16,2026-09-03,2026-09-08,all events except coverage rows
clinical,Washington University in St. Louis,-2,1,3,4,2026-09-03,2026-09-08,all events except coverage rows
clinical,Adventist HealthCare,-1,4,5,9,2026-09-03,2026-09-08,all events except coverage rows
clinical,Arkansas Children's,-1,0,1,1,2026-09-03,2026-09-08,all events except coverage rows
clinical,Aspen Valley Health,1,3,2,5,2026-09-03,2026-09-08,all events except coverage rows
clinical,Baptist Health (Kentucky),1,6,5,11,2026-09-03,2026-09-08,all events except coverage rows
clinical,Cape Fear Valley Health,1,7,6,13,2026-09-03,2026-09-08,all events except coverage rows
clinical,Children's Wisconsin,1,1,0,1,2026-09-03,2026-09-08,all events except coverage rows
clinical,Denver Health,-1,1,2,3,2026-09-03,2026-09-08,all events except coverage rows
clinical,Essentia Health,-1,1,2,3,2026-09-03,2026-09-08,all events except coverage rows
clinical,Gundersen Health System,-1,2,3,5,2026-09-03,2026-09-08,all events except coverage rows
clinical,Memorial Healthcare System,1,5,4,9,2026-09-03,2026-09-08,all events except coverage rows
clinical,Methodist Health System (Dallas),-1,12,13,25,2026-09-03,2026-09-08,all events except coverage rows
clinical,St. Luke's University Health Network,1,1,0,1,2026-09-03,2026-09-08,all events except coverage rows
clinical,Stormont Vail Health,-1,0,1,1,2026-09-03,2026-09-08,all events except coverage rows
clinical,Tidelands Health,-1,0,1,1,2026-09-03,2026-09-08,all events except coverage rows
clinical,University of Kansas Health System,-1,7,8,15,2026-09-03,2026-09-08,all events except coverage rows
clinical,Valley Health System (New Jersey),-1,1,2,3,2026-09-03,2026-09-08,all events except coverage rows
clinical,Hospital Sisters Health System,0,4,4,8,2026-09-03,2026-09-08,all events except coverage rows
clinical,MultiCare Health System,0,13,13,26,2026-09-03,2026-09-08,all events except coverage rows
clinical,UMC Health System,0,5,5,10,2026-09-03,2026-09-08,all events except coverage rows
marketing,Children's National Hospital,-1,0,1,1,2026-09-03,2026-09-08,all events except coverage rows
operations,Cleveland Clinic,-17,0,17,17,2026-09-03,2026-09-08,all events except coverage rows
operations,Trinity Health,2,5,3,8,2026-09-03,2026-09-08,all events except coverage rows
operations,AdventHealth,-1,0,1,1,2026-09-03,2026-09-08,all events except coverage rows
operations,Baptist Health Jacksonville,1,1,0,1,2026-09-03,2026-09-08,all events except coverage rows
operations,Boston Medical Center,-1,0,1,1,2026-09-03,2026-09-08,all events except coverage rows
operations,Methodist Health System (Dallas),-1,0,1,1,2026-09-03,2026-09-08,all events except coverage rows
operations,UMC Health System,1,1,0,1,2026-09-03,2026-09-08,all events except coverage rows
operations,University of Arkansas System,-1,0,1,1,2026-09-03,2026-09-08,all events except coverage rows
operations,Beth Israel Lahey Health,0,1,1,2,2026-09-03,2026-09-08,all events except coverage rows
other,Cleveland Clinic,-128,5,133,138,2026-09-03,2026-09-08,all events except coverage rows
other,Trinity Health,-10,9,19,28,2026-09-03,2026-09-08,all events except coverage rows
other,Beth Israel Lahey Health,8,9,1,10,2026-09-03,2026-09-08,all events except coverage rows
other,AdventHealth,-6,8,14,22,2026-09-03,2026-09-08,all events except coverage rows
other,Mass General Brigham,-4,0,4,4,2026-09-03,2026-09-08,all events except coverage rows
other,Sentara Health,4,4,0,4,2026-09-03,2026-09-08,all events except coverage rows
other,University of Arkansas System,-4,0,4,4,2026-09-03,2026-09-08,all events except coverage rows
other,Vanderbilt University Medical Center,4,16,12,28,2026-09-03,2026-09-08,all events except coverage rows
other,Wellstar Health System,-4,6,10,16,2026-09-03,2026-09-08,all events except coverage rows
other,Cook Children's Health Care System,-3,0,3,3,2026-09-03,2026-09-08,all events except coverage rows
other,Mercy (St. Louis),3,7,4,11,2026-09-03,2026-09-08,all events except coverage rows
other,MultiCare Health System,-3,2,5,7,2026-09-03,2026-09-08,all events except coverage rows
other,Brown University Health,2,2,0,2,2026-09-03,2026-09-08,all events except coverage rows
other,Denver Health,2,2,0,2,2026-09-03,2026-09-08,all events except coverage rows
other,Nationwide Children's Hospital,-2,0,2,2,2026-09-03,2026-09-08,all events except coverage rows
other,Presbyterian Healthcare Services,2,2,0,2,2026-09-03,2026-09-08,all events except coverage rows
other,UMC Health System,2,2,0,2,2026-09-03,2026-09-08,all events except coverage rows
other,Baptist Health Jacksonville,-1,1,2,3,2026-09-03,2026-09-08,all events except coverage rows
other,Baystate Health,-1,0,1,1,2026-09-03,2026-09-08,all events except coverage rows
other,Essentia Health,-1,0,1,1,2026-09-03,2026-09-08,all events except coverage rows
other,Gundersen Health System,1,1,0,1,2026-09-03,2026-09-08,all events except coverage rows
other,Healogics,-1,1,2,3,2026-09-03,2026-09-08,all events except coverage rows
other,Jefferson Health,-1,0,1,1,2026-09-03,2026-09-08,all events except coverage rows
other,OhioHealth,1,1,0,1,2026-09-03,2026-09-08,all events except coverage rows
other,Rochester Regional Health,1,5,4,9,2026-09-03,2026-09-08,all events except coverage rows
other,Saint Francis Health System,-1,2,3,5,2026-09-03,2026-09-08,all events except coverage rows
other,University of Kansas Health System,1,1,0,1,2026-09-03,2026-09-08,all events except coverage rows
other,Washington University in St. Louis,1,1,0,1,2026-09-03,2026-09-08,all events except coverage rows
other,Aspen Valley Health,0,1,1,2,2026-09-03,2026-09-08,all events except coverage rows
other,Avera Health,0,3,3,6,2026-09-03,2026-09-08,all events except coverage rows
other,Cape Fear Valley Health,0,1,1,2,2026-09-03,2026-09-08,all events except coverage rows
other,Intermountain Health,0,2,2,4,2026-09-03,2026-09-08,all events except coverage rows
other,Memorial Healthcare System,0,1,1,2,2026-09-03,2026-09-08,all events except coverage rows
other,ProMedica,0,1,1,2,2026-09-03,2026-09-08,all events except coverage rows
other,UMass Memorial Health,0,3,3,6,2026-09-03,2026-09-08,all events except coverage rows
other,WVU Medicine,0,1,1,2,2026-09-03,2026-09-08,all events except coverage rows
people,UMass Memorial Health,1,2,1,3,2026-09-03,2026-09-08,all events except coverage rows
product,WVU Medicine,1,2,1,3,2026-09-03,2026-09-08,all events except coverage rows
support,Cleveland Clinic,-2,0,2,2,2026-09-03,2026-09-08,all events except coverage rows
