company,net_roles,opened,closed,events,window_start,window_end,basis
Domino's,4201,4276,75,4351,2026-09-14,2026-09-21,all events except coverage rows
Speechify,-791,55,846,901,2026-09-14,2026-09-21,all events except coverage rows
Equinox,-721,50,771,821,2026-09-14,2026-09-21,all events except coverage rows
vfc,446,676,230,906,2026-09-14,2026-09-21,all events except coverage rows
Wise,-413,85,498,583,2026-09-14,2026-09-21,all events except coverage rows
Pinson TM Limited,-374,85,459,544,2026-09-14,2026-09-21,all events except coverage rows
Snowflake,-370,24,394,418,2026-09-14,2026-09-21,all events except coverage rows
Covista,-355,33,388,421,2026-09-14,2026-09-21,all events except coverage rows
cwi,296,312,16,328,2026-09-14,2026-09-21,all events except coverage rows
accenture,-280,841,1121,1962,2026-09-14,2026-09-21,all events except coverage rows
Evolution,-274,13,287,300,2026-09-14,2026-09-21,all events except coverage rows
ElevenLabs,-262,0,262,262,2026-09-14,2026-09-21,all events except coverage rows
fedex,235,284,49,333,2026-09-14,2026-09-21,all events except coverage rows
dssmith,206,221,15,236,2026-09-14,2026-09-21,all events except coverage rows
Deliveroo,-205,2,207,209,2026-09-14,2026-09-21,all events except coverage rows
Weekday AI,193,253,60,313,2026-09-14,2026-09-21,all events except coverage rows
Ramboll,-163,114,277,391,2026-09-14,2026-09-21,all events except coverage rows
Turner & Townsend,151,295,144,439,2026-09-14,2026-09-21,all events except coverage rows
Freshworks,-128,17,145,162,2026-09-14,2026-09-21,all events except coverage rows
Spektrum,-126,16,142,158,2026-09-14,2026-09-21,all events except coverage rows
pwc,-103,289,392,681,2026-09-14,2026-09-21,all events except coverage rows
basspro,100,458,358,816,2026-09-14,2026-09-21,all events except coverage rows
rbc,-95,8,103,111,2026-09-14,2026-09-21,all events except coverage rows
JYSK,92,327,235,562,2026-09-14,2026-09-21,all events except coverage rows
barclays,-88,204,292,496,2026-09-14,2026-09-21,all events except coverage rows
Anduril Industries,81,190,109,299,2026-09-14,2026-09-21,all events except coverage rows
Drees & Sommer SE,-81,39,120,159,2026-09-14,2026-09-21,all events except coverage rows
msd,-80,307,387,694,2026-09-14,2026-09-21,all events except coverage rows
boydgroup,78,195,117,312,2026-09-14,2026-09-21,all events except coverage rows
oldmutual,-72,44,116,160,2026-09-14,2026-09-21,all events except coverage rows
jj,70,635,565,1200,2026-09-14,2026-09-21,all events except coverage rows
dxctechnology,68,161,93,254,2026-09-14,2026-09-21,all events except coverage rows
avisbudget,67,174,107,281,2026-09-14,2026-09-21,all events except coverage rows
bmo,-67,204,271,475,2026-09-14,2026-09-21,all events except coverage rows
thermofisher,-64,309,373,682,2026-09-14,2026-09-21,all events except coverage rows
kbr,62,266,204,470,2026-09-14,2026-09-21,all events except coverage rows
davita,61,509,448,957,2026-09-14,2026-09-21,all events except coverage rows
Hudson Manpower,-60,28,88,116,2026-09-14,2026-09-21,all events except coverage rows
Mineralys Therapeutics,-60,4,64,68,2026-09-14,2026-09-21,all events except coverage rows
SpaceX,60,105,45,150,2026-09-14,2026-09-21,all events except coverage rows
ecolab,60,161,101,262,2026-09-14,2026-09-21,all events except coverage rows
calibercollision,59,304,245,549,2026-09-14,2026-09-21,all events except coverage rows
jci,58,410,352,762,2026-09-14,2026-09-21,all events except coverage rows
