platform,token,company,board_url,api_url,open_roles,count_basis,region
lever,aavelabs,aavelabs,https://jobs.eu.lever.co/aavelabs,https://api.eu.lever.co/v0/postings/aavelabs?mode=json,7,observed,EU
lever,abzena,abzena,https://jobs.eu.lever.co/abzena,https://api.eu.lever.co/v0/postings/abzena?mode=json,20,observed,EU
lever,aero,aero,https://jobs.lever.co/aero,https://api.lever.co/v0/postings/aero?mode=json,10,observed,US
lever,aeva,aeva,https://jobs.lever.co/aeva,https://api.lever.co/v0/postings/aeva?mode=json,46,observed,US
lever,aevi,aevi,https://jobs.eu.lever.co/aevi,https://api.eu.lever.co/v0/postings/aevi?mode=json,7,observed,EU
lever,agiloft,agiloft,https://jobs.lever.co/agiloft,https://api.lever.co/v0/postings/agiloft?mode=json,7,observed,US
lever,alloy,alloy,https://jobs.lever.co/alloy,https://api.lever.co/v0/postings/alloy?mode=json,7,observed,US
lever,amo,amo,https://jobs.eu.lever.co/amo,https://api.eu.lever.co/v0/postings/amo?mode=json,10,observed,EU
lever,angellist,angellist,https://jobs.lever.co/angellist,https://api.lever.co/v0/postings/angellist?mode=json,25,observed,US
lever,anyscale,anyscale,https://jobs.lever.co/anyscale,https://api.lever.co/v0/postings/anyscale?mode=json,1,observed,US
lever,arcadia,arcadia,https://jobs.lever.co/arcadia,https://api.lever.co/v0/postings/arcadia?mode=json,18,observed,US
lever,asobostudio,asobostudio,https://jobs.eu.lever.co/asobostudio,https://api.eu.lever.co/v0/postings/asobostudio?mode=json,7,observed,EU
lever,attovia-therapeutics,attovia-therapeutics,https://jobs.lever.co/attovia-therapeutics,https://api.lever.co/v0/postings/attovia-therapeutics?mode=json,4,observed,US
lever,azul,azul,https://jobs.lever.co/azul,https://api.lever.co/v0/postings/azul?mode=json,17,observed,US
lever,blackshark,blackshark,https://jobs.eu.lever.co/blackshark,https://api.eu.lever.co/v0/postings/blackshark?mode=json,8,observed,EU
lever,bloom,bloom,https://jobs.lever.co/bloom,https://api.lever.co/v0/postings/bloom?mode=json,11,observed,US
lever,blue,blue,https://jobs.lever.co/blue,https://api.lever.co/v0/postings/blue?mode=json,10,observed,US
