platform,token,company,board_url,api_url,open_roles,count_basis,region
workable,1-stopasia,1-stopasia,https://apply.workable.com/1-stopasia,https://apply.workable.com/api/v1/widget/accounts/1-stopasia,3,observed,
workable,1000heads,1000heads,https://apply.workable.com/1000heads,https://apply.workable.com/api/v1/widget/accounts/1000heads,18,observed,
workable,1915-south-ashley,1915-south-ashley,https://apply.workable.com/1915-south-ashley,https://apply.workable.com/api/v1/widget/accounts/1915-south-ashley,85,observed,
workable,1global,1global,https://apply.workable.com/1global,https://apply.workable.com/api/v1/widget/accounts/1global,76,observed,
workable,1kosmos,1kosmos,https://apply.workable.com/1kosmos,https://apply.workable.com/api/v1/widget/accounts/1kosmos,20,observed,
workable,2-1-1-big-bend,2-1-1-big-bend,https://apply.workable.com/2-1-1-big-bend,https://apply.workable.com/api/v1/widget/accounts/2-1-1-big-bend,1,observed,
workable,2070health,2070health,https://apply.workable.com/2070health,https://apply.workable.com/api/v1/widget/accounts/2070health,107,observed,
workable,28stone,28stone,https://apply.workable.com/28stone,https://apply.workable.com/api/v1/widget/accounts/28stone,1,observed,
workable,315,315,https://apply.workable.com/315,https://apply.workable.com/api/v1/widget/accounts/315,12,observed,
workable,3degrees,3degrees,https://apply.workable.com/3degrees,https://apply.workable.com/api/v1/widget/accounts/3degrees,9,observed,
workable,3e,3e,https://apply.workable.com/3e,https://apply.workable.com/api/v1/widget/accounts/3e,13,observed,
workable,7thsense,7thsense,https://apply.workable.com/7thsense,https://apply.workable.com/api/v1/widget/accounts/7thsense,6,observed,
workable,99xbrazil,99xbrazil,https://apply.workable.com/99xbrazil,https://apply.workable.com/api/v1/widget/accounts/99xbrazil,2,observed,
workable,9dtechnologies-1,9dtechnologies-1,https://apply.workable.com/9dtechnologies-1,https://apply.workable.com/api/v1/widget/accounts/9dtechnologies-1,1,observed,
workable,a-hatzopoulos-sa,a-hatzopoulos-sa,https://apply.workable.com/a-hatzopoulos-sa,https://apply.workable.com/api/v1/widget/accounts/a-hatzopoulos-sa,6,observed,
workable,a-la-carte-solutions,a-la-carte-solutions,https://apply.workable.com/a-la-carte-solutions,https://apply.workable.com/api/v1/widget/accounts/a-la-carte-solutions,5,observed,
workable,a-more-perfect-union-the-jewish-partnership-for-democracy,a-more-perfect-union-the-jewish-partnership-for-democracy,https://apply.workable.com/a-more-perfect-union-the-jewish-partnership-for-democracy,https://apply.workable.com/api/v1/widget/accounts/a-more-perfect-union-the-jewish-partnership-for-democracy,1,observed,
workable,a17,a17,https://apply.workable.com/a17,https://apply.workable.com/api/v1/widget/accounts/a17,5,observed,
workable,a2e-technologies-1,a2e-technologies-1,https://apply.workable.com/a2e-technologies-1,https://apply.workable.com/api/v1/widget/accounts/a2e-technologies-1,6,observed,
workable,a2mac1,a2mac1,https://apply.workable.com/a2mac1,https://apply.workable.com/api/v1/widget/accounts/a2mac1,39,observed,
workable,aaaspecialty,aaaspecialty,https://apply.workable.com/aaaspecialty,https://apply.workable.com/api/v1/widget/accounts/aaaspecialty,3,observed,
workable,aand-m-architects-sa,aand-m-architects-sa,https://apply.workable.com/aand-m-architects-sa,https://apply.workable.com/api/v1/widget/accounts/aand-m-architects-sa,1,observed,
workable,aardvark-studios,aardvark-studios,https://apply.workable.com/aardvark-studios,https://apply.workable.com/api/v1/widget/accounts/aardvark-studios,5,observed,
workable,abakus-center,abakus-center,https://apply.workable.com/abakus-center,https://apply.workable.com/api/v1/widget/accounts/abakus-center,45,observed,
workable,abc-center,abc-center,https://apply.workable.com/abc-center,https://apply.workable.com/api/v1/widget/accounts/abc-center,17,observed,
workable,abcom,abcom,https://apply.workable.com/abcom,https://apply.workable.com/api/v1/widget/accounts/abcom,27,observed,
workable,abi-hiring,abi-hiring,https://apply.workable.com/abi-hiring,https://apply.workable.com/api/v1/widget/accounts/abi-hiring,11,observed,
workable,abis,abis,https://apply.workable.com/abis,https://apply.workable.com/api/v1/widget/accounts/abis,67,observed,
workable,abm-careers,abm-careers,https://apply.workable.com/abm-careers,https://apply.workable.com/api/v1/widget/accounts/abm-careers,183,observed,
workable,abpipeliners,abpipeliners,https://apply.workable.com/abpipeliners,https://apply.workable.com/api/v1/widget/accounts/abpipeliners,2,observed,
workable,abtrace,abtrace,https://apply.workable.com/abtrace,https://apply.workable.com/api/v1/widget/accounts/abtrace,15,observed,
workable,abu-dhabi-investment-council,abu-dhabi-investment-council,https://apply.workable.com/abu-dhabi-investment-council,https://apply.workable.com/api/v1/widget/accounts/abu-dhabi-investment-council,6,observed,
workable,abzorbagames,abzorbagames,https://apply.workable.com/abzorbagames,https://apply.workable.com/api/v1/widget/accounts/abzorbagames,1,observed,
workable,academy-of-medical-sciences,academy-of-medical-sciences,https://apply.workable.com/academy-of-medical-sciences,https://apply.workable.com/api/v1/widget/accounts/academy-of-medical-sciences,2,observed,
workable,accellor,accellor,https://apply.workable.com/accellor,https://apply.workable.com/api/v1/widget/accounts/accellor,45,observed,
workable,accepted-ltd,accepted-ltd,https://apply.workable.com/accepted-ltd,https://apply.workable.com/api/v1/widget/accounts/accepted-ltd,9,observed,
workable,access-bank,access-bank,https://apply.workable.com/access-bank,https://apply.workable.com/api/v1/widget/accounts/access-bank,33,observed,
workable,access-services-3,access-services-3,https://apply.workable.com/access-services-3,https://apply.workable.com/api/v1/widget/accounts/access-services-3,47,observed,
workable,accessorypower,accessorypower,https://apply.workable.com/accessorypower,https://apply.workable.com/api/v1/widget/accounts/accessorypower,1,observed,
workable,acclaro,acclaro,https://apply.workable.com/acclaro,https://apply.workable.com/api/v1/widget/accounts/acclaro,53,observed,
workable,accordia,accordia,https://apply.workable.com/accordia,https://apply.workable.com/api/v1/widget/accounts/accordia,1,observed,
workable,accurant,accurant,https://apply.workable.com/accurant,https://apply.workable.com/api/v1/widget/accounts/accurant,4,observed,
workable,acdisaster,acdisaster,https://apply.workable.com/acdisaster,https://apply.workable.com/api/v1/widget/accounts/acdisaster,76,observed,
workable,ace-it-careers-1,ace-it-careers-1,https://apply.workable.com/ace-it-careers-1,https://apply.workable.com/api/v1/widget/accounts/ace-it-careers-1,30,observed,
workable,ackerherz,ackerherz,https://apply.workable.com/ackerherz,https://apply.workable.com/api/v1/widget/accounts/ackerherz,3,observed,
workable,action-against-hunger,action-against-hunger,https://apply.workable.com/action-against-hunger,https://apply.workable.com/api/v1/widget/accounts/action-against-hunger,12,observed,
workable,action-day-schools,action-day-schools,https://apply.workable.com/action-day-schools,https://apply.workable.com/api/v1/widget/accounts/action-day-schools,15,observed,
workable,action1,action1,https://apply.workable.com/action1,https://apply.workable.com/api/v1/widget/accounts/action1,18,observed,
workable,actionline-ltd,actionline-ltd,https://apply.workable.com/actionline-ltd,https://apply.workable.com/api/v1/widget/accounts/actionline-ltd,68,observed,
workable,actionstep,actionstep,https://apply.workable.com/actionstep,https://apply.workable.com/api/v1/widget/accounts/actionstep,6,observed,
workable,activ-2,activ-2,https://apply.workable.com/activ-2,https://apply.workable.com/api/v1/widget/accounts/activ-2,2,observed,
workable,activate-interactive-pte-ltd,activate-interactive-pte-ltd,https://apply.workable.com/activate-interactive-pte-ltd,https://apply.workable.com/api/v1/widget/accounts/activate-interactive-pte-ltd,126,observed,
workable,activatecare,activatecare,https://apply.workable.com/activatecare,https://apply.workable.com/api/v1/widget/accounts/activatecare,44,observed,
workable,activtrak,activtrak,https://apply.workable.com/activtrak,https://apply.workable.com/api/v1/widget/accounts/activtrak,4,observed,
workable,acuity-insights,acuity-insights,https://apply.workable.com/acuity-insights,https://apply.workable.com/api/v1/widget/accounts/acuity-insights,18,observed,
workable,adia,adia,https://apply.workable.com/adia,https://apply.workable.com/api/v1/widget/accounts/adia,10,observed,
workable,admirals,admirals,https://apply.workable.com/admirals,https://apply.workable.com/api/v1/widget/accounts/admirals,3,observed,
workable,adoreal,adoreal,https://apply.workable.com/adoreal,https://apply.workable.com/api/v1/widget/accounts/adoreal,22,observed,
workable,adree,adree,https://apply.workable.com/adree,https://apply.workable.com/api/v1/widget/accounts/adree,13,observed,
workable,advancial,advancial,https://apply.workable.com/advancial,https://apply.workable.com/api/v1/widget/accounts/advancial,7,observed,
workable,advansys-esc-1,advansys-esc-1,https://apply.workable.com/advansys-esc-1,https://apply.workable.com/api/v1/widget/accounts/advansys-esc-1,34,observed,
workable,advantmed,advantmed,https://apply.workable.com/advantmed,https://apply.workable.com/api/v1/widget/accounts/advantmed,131,observed,
workable,advisacare-2,advisacare-2,https://apply.workable.com/advisacare-2,https://apply.workable.com/api/v1/widget/accounts/advisacare-2,360,observed,
workable,aerones,aerones,https://apply.workable.com/aerones,https://apply.workable.com/api/v1/widget/accounts/aerones,41,observed,
workable,aetos-systems-inc,aetos-systems-inc,https://apply.workable.com/aetos-systems-inc,https://apply.workable.com/api/v1/widget/accounts/aetos-systems-inc,24,observed,
workable,agad-technology,agad-technology,https://apply.workable.com/agad-technology,https://apply.workable.com/api/v1/widget/accounts/agad-technology,9,observed,
workable,agcp,agcp,https://apply.workable.com/agcp,https://apply.workable.com/api/v1/widget/accounts/agcp,12,observed,
workable,agile-robots,agile-robots,https://apply.workable.com/agile-robots,https://apply.workable.com/api/v1/widget/accounts/agile-robots,1,observed,
workable,agileactors,agileactors,https://apply.workable.com/agileactors,https://apply.workable.com/api/v1/widget/accounts/agileactors,29,observed,
